_id,City,Year,Average No. of daily trips,Average No. of passengers (day-to-day basis),Average Trip length in km (daily),Average cost per km in rupees (daily),Revenue per km in rupees
91,Silvassa,2016-17,59,1631,1044,36,12
92,Silvassa,2017-18,58,1525,1002,42,10
93,Solapur,2015-16,775,72180,300,55,26
94,Solapur,2016-17,318,30363,250,49,28
95,Solapur,2017-18,158,22121,225,48,23
96,Surat,2015-16,201,8709,4.3,38.09,8.29
97,Surat,2016-17,1741,82266,6,35.97,14.55
98,Surat,2017-18,1960,80077,5.9,36.32,12.45
99,Thanjavur,2015-16,1450,85000,30,31,23
100,Thanjavur,2016-17,1450,80000,30,35,24
101,Thanjavur,2017-18,1350,76000,32,40,29
102,Tiruchirappalli ,2015-16,2653,332453,22.42,30.36,27.91
103,Tiruchirappalli ,2016-17,2611,329111,23.03,33.88,31.55
104,Tiruchirappalli ,2017-18,2471,263254,28.81,38.43,34.45
105,Tirunelveli,2015-16,2400,96000,35,0.55,19.05
106,Tirunelveli,2016-17,2416,96640,35,0.58,21.78
107,Tirunelveli,2017-18,2416,96640,35,0.58,27.61
108,Tirupati,2015-16,33651,36000,11.87,119.7,90
109,Tirupati,2016-17,NA,NA,NA,NA,NA
110,Tirupati,2017-18,NA,NA,NA,NA,NA
111,Tiruppur,2015-16,1952,160000,NA,28.86,19.92
112,Tiruppur,2016-17,1946,166000,NA,31.13,20.51
113,Tiruppur,2017-18,1938,175000,NA,38.78,22.8
114,Vadodara,2015-16,1200,45000,13750,18,12
115,Vadodara,2016-17,1200,45000,13750,19,14
116,Vadodara,2017-18,4500,115000,30000,28,30
117,Varanasi,2015-16,501,15068,38.2,21.33,20.07
118,Varanasi,2016-17,486,13205,38.38,22.37,21.1
119,Varanasi,2017-18,463,12792,37.12,23.46,20.01
120,Visakhapatnam,2015-16,7357,269257,20,39.56,34.87
121,Visakhapatnam,2016-17,7667,279798,20,42.87,36.59
122,Visakhapatnam,2017-18,7953,304848,20,43.92,40.21
123,Warangal,2015-16,5377,8.22,3.53,33.5,31.11
124,Warangal,2016-17,6102,8.32,3.65,33.81,31.03
125,Warangal,2017-18,6022,9.54,3.85,34.58,33.57
